ID,name,kana,description,URL,Facebook,Instagram,Twitter,image,date,name
1,Apneumo,アニューモ,"Furuya(Guitar/Synthesizer)  イノウエユウキ(Bass)    tsukasa(Drums)
2017年結成。平均年齢27歳のアンビエント&フュージョン・ギターインストトリオ。
海外のエレクトロニカやアンビエントに影響を受けた無機質なサウンドに、叙情的なギターのメロディやタイトなビートが絡んだハイブリッドなインストバンド。
耳を洗うような心地良さ、美しい風景を思い起こす情景的なサウンドが話題を呼び幅広いリスナーの関心を得ている。
2017年1st mini album「moon satellite」をリリース。DIY精神に基づいた活動でMotion Blue YOKOHAMAでのレコ発ワンマンライブを成功させる。
2021年3月に、Playwrightからのデビュー作 となる2nd mini album「薄明」をリリース。ギター・ベース・ドラム・シンセサイザーをベースに自身の制作に様々な楽器を取り入れており、サックス奏者 藤田淳之介(TRI4TH)をフィーチャーした「chilling flow」やピアニスト 木村イオリ(bohemianvoodoo)をフィーチャーした「 pray 」などの代表曲がある。",https://apneumo.jimdofree.com/,,https://www.instagram.com/apneumo/,https://twitter.com/apneumo,img/Apneumo.jpg,2021-10-30,Apneumo
2,ORESKABAND,オレスカバンド,"日本のガールズスカ・ロックバンド。
2003年5月、中学3年生の時に同級生のブラスバンド部を中心に結成。同10月に初ライブを行う。高校入学後も積極的にライブ活動を行い、2006年2月にソニーミュージックアソシエイテッドレコーズとメジャー契約を締結。7月に『俺』でメジャーデビュー。全米ツアーや、アルゼンチン、ブラジル公演など、日本にとどまらず海外まで活動の幅を広げている。",http://www.oreskaband.com/,https://www.facebook.com/ORESKABAND.JP,,https://twitter.com/oreska_official,"	img/oreskaband.jpg",2021-10-30,ORESKABAND
3,kroi,クロイ,"Kroiは、内⽥怜央(Vo.)、長谷部悠⽣(Gt.)、関将典(Ba.)、益⽥英知(Dr.)、千葉⼤樹(Key.)による5人組バンド。2018年2⽉に結成。R&B/ファンク/ソウル/ロック/ヒップホップなど、あらゆる音楽ジャンルからの影響を昇華したミクスチャーな音楽性を提⽰。バンド名の由来は、あらゆる音楽ジャンルの色を取り入れて新しい音楽性を創造したいという考えで、全ての色を混ぜると黒になることからくる「黒い」と、メンバーが全員ブラックミュージックを好み、そこから受けた影響や衝撃を⽇本人である⾃分たちなりに昇華するという意味を込め、Blackを⽇本語にした「黒い」からKroiと命名。
2018年10⽉に1st Single「Suck a Lemmon」をリリース。翌年夏『SUMMER SONIC 2019』へ出演。2021年1月にリリースした3rd EP「STRUCTURE
DECK」では、タワーレコード「未来ノ和モノ」「タワレコメン」、HMV「エイチオシ」に選出。
同年6月にはポニーキャニオン・IRORI Recordsより1st Album「LENS」をリリースし、リード曲の「Balmy Life」は全国AM/FMラジオにて45局以上のパワープレイを獲得するなど、高い注目を集めている。
音楽活動だけでなく、ファッションモデルやデザイン、楽曲プロデュースなど、メンバーそれぞれが多様な活動を展開し、カルチャーシーンへの発信を⾏っている。",https://kroi.net/,,https://www.instagram.com/kroi_official/,https://twitter.com/KroiOfficial,img/kroi.jpg,2021-10-30,kroi
4,keishi tanaka,ケイシタナカ,"ミュージシャン。作詞家。作曲家。Riddim Saunterを解散後、2012年よりソロ活動をスタート。
続けざまにリリースされた『Fill』と『Alley』という2つのアルバムで、シンガーソングライターとしてバンド時代とは違う一面を見せる。「Floatin' Groove」が、全国のラジオ局で多数パワープレイに選ばれるなど、細部にこだわりをみせる高い音楽性を持ちながら、幅広い層に受け入れられる音楽であることを証明した。さらに、3rdアルバム『What's A Trunk?』では、Tokyo Recordings、fox capture plan、LEARNERS、Ropesなど、さまざまなミュージシャンとレコーディングをして話題となる。最新アルバム『BREATH』では、ブラックミュージックと日本人ポップスを見事に融合させ、自身がそのときにやりたい音楽を自由に歌い続けている。
アルバムのほかにも、詩と写真で構成された6曲入りソングブック『夜の終わり』や、絵本『秘密の森』、自身の想いを音楽と言葉とデザインで伝える『A SONG FOR YOU』のシリーズなど、自身の世界観を表現する多様な作品をリリース。 
2020年12月、Kan Sanoプロデュースによる「The Smoke Is You」、oysmをフィーチャリングした「揺れる葉」を含む5曲入りのミニアルバム『AVENUE』をリリース。1日限りのリリースパーティーは『A SONG FOR YOU Vol.04』にて映像化されている。
ライブハウスや野外フェスでのバンドセットから、ホールやBillboardでの11人編成ビッグバンド、さらには小さなカフェでの弾き語りなど、場所や聴く人を限定しないスタイルで年間100本前後のライブを続けている。自主企画として、バンド編成の[NEW KICKS]と、アコースティックの[ROOMS]を不定期に開催中。
また、2017年4月に詩集『真夜中の魚』(シンコーミュージック・エンタテインメント)を発売し、文章にも注目が集まる。『ランドネ』(マイナビ出版)での連載は5年目に突入。",http://keishitanaka.com/,https://www.facebook.com/keishitanaka.official/,https://www.instagram.com/keishitanaka,https://twitter.com/KeishiTanaka,img/KeishiTanaka2020.jpg,2021-10-30,keishi tanaka
5,粉川心＋山本精一,コガワシン,"drummer 粉川 心によるソロプロジェクト。
ドラムを通じた自己表現を探求する中で、アニミズムや禅の持つ美的観念に共鳴し、木と、皮と、鉱物と、身体。ミニマムなスタイルでフリージャズ、スピリチュアルジャズ、民族音楽、環境音楽、ハードコアなどを飲み込んで、生楽器の持つ原始的な強く美しいサウンドに瞬間の感性を落とし込む即興独奏。
TAMA/Bosphorus/Regaltip/エンドーサー。ex. jizue。
2006年結成のインストバンドjizueでVictor entertainmentよりメジャーデビュー。これまでに7枚のフルアルバムをリリース。
『FUJI ROCKFESTIVAL』『朝霧JAM』『東京JAZZ』『GREENROOM FESTIVAL』など各地の大型フェスに出演。
国内に留まらず、カナダ、インドネシア、中国、台湾など、海外ツアーも行う。
14年jizueのドラマーとして活動したのち2019年、京都市交響楽団とのオーケストラ公演を最後に脱退。ソロドラマーへ転身する。
翌年2020年には単独東南アジアツアーを行い、帰国後1stソロアルバム『ANIMA』を制作、リリース。
『ANIMA』リリースツアーでは勝井裕二（rovo）柏倉隆史（toe）栗原健（soil&pimp sessions）オオヤユウスケ（Polaris）類家心平、渡辺ショータらと熱演を重ねる。

山本精一（やまもと・せいいち）
兵庫県出身、京都在住の造音作家、画家、エッセイスト。
オルタナティヴユニット「BOREDOMS」、アブストラクト・ロック実験室「想い出波止場」、擬似ポップバンド「羅針盤」、コズミックダンスバンド「ROVO」、恣意的初期衝動パンクバンド「MOST」、数学的パズルグルーヴ「PARA」他、多数の実験的バンド ／ユニットやソロワーク、内外の先鋭的な音楽家とのセッション等で、プレイヤー／ソングライター／コンポーザー／プロデューサーとして、ワールドワイドに活動を展開。ソロ作品としても、「selfy」「クラウン・オブ・ファジーグルーヴ」「ラプソディア」「プレイグラウンド」「CAFE BRAIN」他作品多数。
また、「MIND GAME」(湯浅政明監督）「殺し屋１」(三池崇史監督)「アドレナリン・ドライブ」(矢口史靖監督）などで映画音楽も手がける。文筆家、画家、写真家としても定期的に作品発表を行っており、著書に『イマユラ』(Pバイン出版）『ギンガ』(リットーミュージック）『ゆん』(河出書房新社）などがある。「文学界」など主に紙媒体をメインにエッセイの執筆も続けている。",http://shin0203.wix.com/drum-lesson,,https://www.instagram.com/drum_shinkokawa/?hl=ja,https://twitter.com/Drum_ShinKokawa,img/yamamoto_kokawa.jpg,2021-10-30,粉川心＋山本精一
6,the bed room tape,ザベッドルームテープ,"景山奏によるソロ・プロジェクト。2013年、児玉奈央、NAGAN SERVER、奇妙礼太郎が参加した「THE BED ROOM TAPE」、2015年、川谷絵音、リミキサーとしてBudaMunkが参加した「YARN」、2016年、Gotch、BASI、リミキサーとしてUyama Hirotoが参加した「UNDERTOW」を発表。2021年夏より新曲のリリースを予定している。",,https://www.facebook.com/thebedroomtape/,https://www.instagram.com/kanadekageyamaa/?hl=ja,,img/THEBEDROOM TAPE.jpg,2021-10-30,the bed room tape
7,jizue ,ジズー,"2006年結成。
これまで6枚のフルアルバムを発表し、そのどれもがロングセラーを記録。ロックや、ハードコアに影響を受けた魂を揺さぶるような力強さ、ジャズの持つスウィング感、叙情的な旋律が絶妙なバランスで混ざり合ったサウンドで、地元京都を中心に人気を高め、『FUJI ROCK FESTIVAL』、『GREENROOM FESTIVAL』、『朝霧JAM』といった大型フェスにも出演。
国内に留まらず、カナダ、インドネシア、中国、台湾など、海外にも進出し、その圧倒的な演奏力で高い評価を得ている。
2017年10月、ミニアルバム『grassroots』でビクターよりメジャー・デビュー。
2018年7月、6枚目のフルアルバム『ROOM』をリリース。
2019年7月、コンセプト・アルバム『gallery』をリリース。
2019年10月には京都市交響楽団サポートによる初のオーケストラ公演を開催。
2020年2月26日、オーケストラでのライブを収録した『jizue orchestra Live at Kyoto Concert Hall 2019.10.19』を配信＆DVDでリリース。
2020年9月、7枚目のフルアルバム『Seeds』をリリース。",https://www.jizue.com/,https://www.facebook.com/jizue,https://www.instagram.com/jizue_jpn,https://twitter.com/jizue,img/jizue.jpeg,2021-10-30,jizue 
8,seiho,セイホ,"大阪出身の電子音楽家、プロデューサー/DJであり、おでん屋「そのとうり」、和菓子屋「かんたんなゆめ」のプロデュースも務める。
2010年代の国内外エレクトロニック・ミュージック・シーンにおけるキーパーソン。
これまでにフライング・ロータス、ディスクロージャー、マシュー・ハーバート、カシミア・キャットらとの共演や、
平井堅、Chara+YUKI、三浦大知、矢野顕子、PUNPEEらへのプロデュース・ワーク、
Avec Avecとのポップ・デュオ「Sugar’s Campaign」としての活動など、
表と裏の舞台を行き来しながら常にカッティング・エッジな音楽を提供し続け、
その非凡な音楽性はもとより、アートや哲学領域にも精通する類稀なセンスには多方面から常に注目が集まる。
2021年5月、Amazon Musicの新企画「PRODUCERS」第1弾プロデューサーに選出され、ACO、ASOBOiSM、BTB特効、cero、KID FRESINO、LUVRAW、鎮座DOPENESSをフィーチャリングに迎えたミニアルバム『CAMP』をリリース。",,https://www.facebook.com/seiho777,https://www.instagram.com/seiho777,https://twitter.com/seiho777,img/IMG_6954.jpg,2021-10-30,seiho
9,downy,ダウニー,"2000年4月結成。メンバーに映像担当が在籍する、特異な形態をとる5人編成のロック・バンド。音楽と映像をセッションにより同期、融合させたライブスタイルの先駆け的存在とされ、独創的、革新的な音響空間を創り上げ、視聴覚に訴えかけるライブを演出。
2004年に活動休止し、2013年に再始動。2014年にFUJIROCK FESTIVAL出演。2018年にギタリストの青木裕が逝去。2020年SUNNOVA(Samlper/Synth)の正式メンバーの加入を発表。
青木ロビン(Vo/Gt)は、zezecoとしての活動に加え、映画音楽制作、ゲストボーカルとしての参加、THE NOVEMBERS等のアーティストへの楽曲提供、アレンジ、プロデュースも手掛ける。
仲俣和宏(Ba)はfresh!、YakYakYakとしても活動している。",http://downy-web.com/,https://www.facebook.com/downyjapan,https://www.instagram.com/downy_official_/,https://twitter.com/downy_official/,img/IMG_2426.JPG,2021-10-30,downy
10,DENIMS,デニムス,"古い物好きだけど新しい事をしたい。大人だけど子供のように。お洒落だけど泥臭い。
そんなバンド。2012年 大阪堺にてDENIMS結成。
2015年 自主レーベルOSAMIstudio.から初の全国流通盤となる1st Mini Album “Daily use” をリリース。
2016年 2nd Mini Album“iggy&pops”をリリース、ツアーファイナル@東心斎橋CONPASS初ワンマンはソールド。
同年、FUJI ROCK FESTIVAL’16出演。2017年 1st full album”DENIMS”をリリース。VIVA LA ROCK 2017出演。
2018年　東名阪福、4都市のワンマンツアーを行い全公演ソールドアウト。
大阪・味園ユニバースにてDENIMS主催フェス”ODD SAFARI”を開催し、700人動員しソールドアウト。
RUSH BALL 2018出演。2019年　V6 50thシングルCPに「そんな顔しなくたっていい」を楽曲提供。",http://denim-s.jp/,https://www.facebook.com/DENIMS.jp,https://www.instagram.com/denims_official,https://twitter.com/DENIMS_official,img/DENIMS_A_201225.jpg,2021-10-30,DENIMS
